wavelength_nm,ED_m2,MD_m2,EQ_m2,MQ_m2,Total_m2
826.00,3.0105987e-14,4.4069821e-14,2.7769484e-17,1.5511173e-18,7.4205137e-14
828.00,2.9751129e-14,4.1309814e-14,2.7227278e-17,1.4990685e-18,7.1089678e-14
830.00,2.94015e-14,3.8766644e-14,2.6697054e-17,1.4489524e-18,6.8196298e-14
832.00,2.9057009e-14,3.6420454e-14,2.6178517e-17,1.4006899e-18,6.550505e-14
834.00,2.8717566e-14,3.4253361e-14,2.5671377e-17,1.3542055e-18,6.2997959e-14
836.00,2.8383082e-14,3.2249261e-14,2.5175354e-17,1.3094269e-18,6.0658834e-14
838.00,2.8053472e-14,3.0393652e-14,2.4690176e-17,1.2662854e-18,5.8473087e-14
840.00,2.7728652e-14,2.8673469e-14,2.4215575e-17,1.2247149e-18,5.6427568e-14
842.00,2.7408539e-14,2.7076937e-14,2.3751296e-17,1.1846524e-18,5.4510418e-14
844.00,2.7093052e-14,2.5593434e-14,2.3297085e-17,1.1460379e-18,5.2710935e-14
846.00,2.6782111e-14,2.4213373e-14,2.2852699e-17,1.1088136e-18,5.1019451e-14
848.00,2.6475638e-14,2.2928092e-14,2.2417899e-17,1.0729246e-18,4.9427226e-14
850.00,2.6173557e-14,2.1729756e-14,2.1992455e-17,1.0383182e-18,4.7926349e-14
852.00,2.5875794e-14,2.0611274e-14,2.1576141e-17,1.0049439e-18,4.6509654e-14
854.00,2.5582274e-14,1.956622e-14,2.1168737e-17,9.7275356e-19,4.5170641e-14
856.00,2.5292927e-14,1.8588762e-14,2.0770031e-17,9.41701e-19,4.3903406e-14
858.00,2.5007681e-14,1.7673607e-14,2.0379815e-17,9.1174202e-19,4.2702584e-14
860.00,2.4726467e-14,1.6815938e-14,1.9997886e-17,8.8283434e-19,4.156329e-14
862.00,2.4449217e-14,1.6011372e-14,1.9624048e-17,8.5493741e-19,4.0481073e-14
864.00,2.4175866e-14,1.5255915e-14,1.9258108e-17,8.2801244e-19,3.9451872e-14
866.00,2.3906347e-14,1.4545923e-14,1.8899881e-17,8.0202224e-19,3.8471976e-14
868.00,2.3640596e-14,1.3878065e-14,1.8549185e-17,7.769312e-19,3.7537992e-14
870.00,2.3378552e-14,1.3249298e-14,1.8205841e-17,7.5270517e-19,3.6646812e-14
872.00,2.3120152e-14,1.2656833e-14,1.7869679e-17,7.2931144e-19,3.5795588e-14
874.00,2.2865335e-14,1.2098118e-14,1.754053e-17,7.0671864e-19,3.4981704e-14
876.00,2.2614044e-14,1.1570806e-14,1.7218231e-17,6.8489668e-19,3.4202757e-14
878.00,2.2366219e-14,1.1072747e-14,1.6902622e-17,6.6381673e-19,3.3456536e-14
880.00,2.2121804e-14,1.0601959e-14,1.6593549e-17,6.4345113e-19,3.2741003e-14
882.00,2.1880742e-14,1.015662e-14,1.6290859e-17,6.2377335e-19,3.2054281e-14
884.00,2.164298e-14,9.7350519e-15,1.5994406e-17,6.0475791e-19,3.1394635e-14
886.00,2.1408462e-14,9.3357054e-15,1.5704045e-17,5.8638039e-19,3.0760462e-14
888.00,2.1177137e-14,8.9571505e-15,1.5419638e-17,5.6861735e-19,3.0150279e-14
890.00,2.0948952e-14,8.5980656e-15,1.5141048e-17,5.5144627e-19,2.9562713e-14
892.00,2.0723856e-14,8.2572281e-15,1.4868141e-17,5.3484556e-19,2.899649e-14
894.00,2.05018e-14,7.9335061e-15,1.4600788e-17,5.1879446e-19,2.8450429e-14
896.00,2.0282735e-14,7.6258501e-15,1.4338864e-17,5.0327305e-19,2.792343e-14
898.00,2.0066612e-14,7.333287e-15,1.4082245e-17,4.882622e-19,2.7414472e-14
900.00,1.9853384e-14,7.054913e-15,1.383081e-17,4.7374353e-19,2.6922605e-14
902.00,1.9643006e-14,6.7898881e-15,1.3584444e-17,4.5969937e-19,2.6446941e-14
904.00,1.943543e-14,6.5374314e-15,1.3343031e-17,4.4611277e-19,2.5986654e-14
906.00,1.9230614e-14,6.2968157e-15,1.3106462e-17,4.329674e-19,2.5540972e-14
908.00,1.9028513e-14,6.0673634e-15,1.2874626e-17,4.2024759e-19,2.5109174e-14
910.00,1.8829084e-14,5.8484431e-15,1.2647419e-17,4.0793829e-19,2.4690585e-14
912.00,1.8632285e-14,5.6394652e-15,1.2424737e-17,3.96025e-19,2.4284574e-14
914.00,1.8438074e-14,5.4398795e-15,1.220648e-17,3.8449379e-19,2.3890547e-14
916.00,1.8246411e-14,5.2491714e-15,1.199255e-17,3.7333127e-19,2.3507951e-14
918.00,1.8057256e-14,5.0668599e-15,1.178285e-17,3.6252455e-19,2.3136264e-14
920.00,1.7870569e-14,4.8924948e-15,1.1577288e-17,3.5206125e-19,2.2774996e-14
922.00,1.7686312e-14,4.7256544e-15,1.1375773e-17,3.4192942e-19,2.2423687e-14
924.00,1.7504448e-14,4.5659434e-15,1.1178215e-17,3.3211761e-19,2.2081904e-14
926.00,1.7324938e-14,4.4129911e-15,1.0984528e-17,3.2261477e-19,2.1749238e-14
928.00,1.7147747e-14,4.2664496e-15,1.0794627e-17,3.1341027e-19,2.1425306e-14
930.00,1.6972838e-14,4.1259922e-15,1.0608429e-17,3.0449388e-19,2.1109745e-14
932.00,1.6800177e-14,3.9913118e-15,1.0425855e-17,2.9585576e-19,2.0802212e-14
934.00,1.6629729e-14,3.8621198e-15,1.0246825e-17,2.8748643e-19,2.0502385e-14
936.00,1.6461459e-14,3.7381444e-15,1.0071262e-17,2.7937675e-19,2.0209956e-14
938.00,1.6295335e-14,3.6191299e-15,9.8990927e-18,2.7151793e-19,1.9924638e-14
940.00,1.6131324e-14,3.5048354e-15,9.7302427e-18,2.6390151e-19,1.9646156e-14
942.00,1.5969394e-14,3.3950338e-15,9.5646409e-18,2.5651932e-19,1.937425e-14
944.00,1.5809512e-14,3.2895108e-15,9.4022176e-18,2.493635e-19,1.9108676e-14
946.00,1.5651648e-14,3.1880643e-15,9.2429049e-18,2.4242649e-19,1.88492e-14
948.00,1.5495772e-14,3.0905036e-15,9.0866362e-18,2.3570098e-19,1.8595599e-14
950.00,1.5341853e-14,2.9966482e-15,8.9333467e-18,2.2917993e-19,1.8347665e-14
952.00,1.5189862e-14,2.9063279e-15,8.7829732e-18,2.2285658e-19,1.8105197e-14
954.00,1.503977e-14,2.8193814e-15,8.6354537e-18,2.1672438e-19,1.7868005e-14
956.00,1.4891548e-14,2.7356563e-15,8.4907279e-18,2.1077704e-19,1.7635907e-14
958.00,1.4745169e-14,2.6550082e-15,8.3487368e-18,2.0500847e-19,1.7408732e-14
960.00,1.4600605e-14,2.5773004e-15,8.2094227e-18,1.9941283e-19,1.7186315e-14
962.00,1.4457829e-14,2.5024035e-15,8.0727295e-18,1.9398445e-19,1.69685e-14
964.00,1.4316814e-14,2.4301945e-15,7.9386021e-18,1.887179e-19,1.6755137e-14
966.00,1.4177535e-14,2.3605571e-15,7.8069869e-18,1.8360791e-19,1.6546084e-14
968.00,1.4039966e-14,2.2933807e-15,7.6778315e-18,1.7864941e-19,1.6341204e-14
